gene	type
FPGS 	HK
FPGT 	HK
FRA10AC1 	HK
FTO 	HK
FTSJ1 	HK
FTSJ2 	HK
FTSJ3 	HK
FTSJD1 	HK
FTSJD2 	HK
FUBP1 	HK
FUK 	HK
FUNDC2 	HK
FXN 	HK
FYTTD1 	HK
FZR1 	HK
G3BP1 	HK
GAA 	HK
GABARAP 	HK
GABARAPL2 	HK
GABPB1 	HK
GADD45GIP1 	HK
GALK2 	HK
GALNS 	HK
GALNT1 	HK
GALNT2 	HK
GALT 	HK
GANAB 	HK
GAPVD1 	HK
GARS 	HK
GART 	HK
GATAD2A 	HK
GATAD2B 	HK
GATC 	HK
GBA 	HK
GBA2 	HK
GBF1 	HK
GCC1 	HK
GCDH 	HK
GCLC 	HK
GCLM 	HK
GDE1 	HK
GDI2 	HK
GDPGP1 	HK
GEMIN7 	HK
GEMIN8 	HK
GET4 	HK
GFER 	HK
GFM1 	HK
GFOD2 	HK
GGCT 	HK
GGNBP2 	HK
GGT7 	HK
GHDC 	HK
GHITM 	HK
GID8 	HK
GINM1 	HK
GIPC1 	HK
GLCE 	HK
GLE1 	HK
GLG1 	HK
GLI4 	HK
GLO1 	HK
GLRX2 	HK
GLRX3 	HK
GLRX5 	HK
GLT8D1 	HK
GLTP 	HK
GLTPD1 	HK
GLYR1 	HK
GMPPA 	HK
GMPR2 	HK
GNB1 	HK
GNB2 	HK
GNE 	HK
GNL2 	HK
GNL3 	HK
GNPAT 	HK
GNPDA1 	HK
GNPNAT1 	HK
GNPTG 	HK
GNS 	HK
GOLGA1 	HK
GOLGA2 	HK
GOLGA3 	HK
GOLGA5 	HK
GOLGA7 	HK
GOLGB1 	HK
GOLPH3 	HK
GOLT1B 	HK
GOPC 	HK
GORASP1 	HK
GORASP2 	HK
GOSR1 	HK
GOSR2 	HK
GPAA1 	HK
GPANK1 	HK
GPATCH4 	HK
GPBP1 	HK
GPBP1L1 	HK
GPHN 	HK
GPI 	HK
GPKOW 	HK
GPN1 	HK
GPN2 	HK
GPN3 	HK
GPR107 	HK
GPR108 	HK
GPS1 	HK
GPS2 	HK
GPX4 	HK
GRAMD4 	HK
GRHPR 	HK
GRINA 	HK
GRIPAP1 	HK
GRPEL1 	HK
GRSF1 	HK
GRWD1 	HK
GSK3A 	HK
GSK3B 	HK
GSPT1 	HK
GSPT2 	HK
GSR 	HK
GSS 	HK
GSTK1 	HK
GSTM4 	HK
GSTO1 	HK
GTDC2 	HK
GTF2A1 	HK
GTF2B 	HK
GTF2F1 	HK
GTF2F2 	HK
GTF2H1 	HK
GTF2H4 	HK
GTF2H5 	HK
GTF2I 	HK
GTF3A 	HK
GTF3C1 	HK
GTF3C2 	HK
GTF3C3 	HK
GTF3C5 	HK
GTF3C6 	HK
GTPBP10 	HK
GTPBP4 	HK
GTPBP5 	HK
GTPBP8 	HK
GUK1 	HK
GZF1 	HK
H1FX 	HK
H2AFV 	HK
H2AFX 	HK
H2AFY 	HK
H2AFZ 	HK
HADH 	HK
HADHA 	HK
HAGH 	HK
HARS 	HK
HARS2 	HK
HAT1 	HK
HAUS3 	HK
HAUS4 	HK
HAUS7 	HK
HAX1 	HK
HBP1 	HK
HBS1L 	HK
HCCS 	HK
HCFC1 	HK
HDAC2 	HK
HDAC3 	HK
HDAC6 	HK
HDAC8 	HK
HDDC3 	HK
HDGF 	HK
HDHD3 	HK
HDLBP 	HK
HEATR2 	HK
HEATR5A 	HK
HEBP1 	HK
HECTD3 	HK
HELZ 	HK
HEMK1 	HK
HERC4 	HK
HERPUD1 	HK
HERPUD2 	HK
HEXA 	HK
HEXDC 	HK
HEXIM1 	HK
HGS 	HK
HIAT1 	HK
HIATL1 	HK
HIBADH 	HK
HIGD1A 	HK
HIGD2A 	HK
HINFP 	HK
HINT1 	HK
HINT2 	HK
HIST1H2BC 	HK
HIVEP1 	HK
HMBS 	HK
HMG20A 	HK
HMG20B 	HK
HMGB1 	HK
HMGN3 	HK
HMGXB3 	HK
HMGXB4 	HK
HMOX2 	HK
HN1L 	HK
HNRNPA0 	HK
HNRNPA2B1 	HK
HNRNPAB 	HK
HNRNPC 	HK
HNRNPD 	HK
HNRNPF 	HK
HNRNPH1 	HK
HNRNPH2 	HK
HNRNPK 	HK
HNRNPL 	HK
HNRNPM 	HK
HNRNPR 	HK
HNRNPU 	HK
HNRNPUL1 	HK
HNRNPUL2 	HK
HNRPDL 	HK
HNRPLL 	HK
HP1BP3 	HK
HPS1 	HK
HPS6 	HK
HS1BP3 	HK
HS2ST1 	HK
HS6ST1 	HK
HSBP1 	HK
HSCB 	HK
HSD17B10 	HK
HSD17B12 	HK
HSD17B4 	HK
HSPA14 	HK
HSPA4 	HK
HSPA5 	HK
HSPA8 	HK
HSPA9 	HK
HSPBP1 	HK
HSPE1-MOB4 	HK
HTATIP2 	HK
HTRA2 	HK
HTT 	HK
HUS1 	HK
HUWE1 	HK
HYOU1 	HK
HYPK 	HK
IAH1 	HK
IARS 	HK
IARS2 	HK
IBA57 	HK
IBTK 	HK
ICK 	HK
ICMT 	HK
